image,defect_type,type_confidence,n_defects,health_index,status,defect_present
01_porosity.png,porosity,0.9982245564460754,4,0.952,PASS,True
02_slag.png,slag,0.8683650493621826,3,0.921,PASS,True
03_porosity.png,porosity,0.8513858914375305,2,0.912,PASS,True
04_slag.png,slag,0.9988651275634766,5,0.834,PASS,True
05_clean.png,,1.0,0,1.0,PASS,False
06_porosity.png,porosity,0.9044615030288696,1,0.936,PASS,True
07_slag.png,slag,0.9618237018585205,6,0.73,PASS,True
08_porosity.png,porosity,0.999839186668396,4,0.927,PASS,True
09_slag.png,slag,0.7913416624069214,1,0.909,PASS,True
10_clean.png,,1.0,0,1.0,PASS,False
11_porosity.png,porosity,0.9759798049926758,3,0.87,PASS,True
12_slag.png,slag,0.9858319759368896,2,0.904,PASS,True
13_porosity.png,porosity,0.9796091318130493,1,0.937,PASS,True
14_slag.png,slag,0.9977040886878967,1,0.952,PASS,True
15_clean.png,,1.0,0,1.0,PASS,False
